frame_ind,frame_diff,key_moment,fps
0.0,0,0.0,25.0
1.0,332959,0.0,25.0
2.0,232837,0.0,25.0
3.0,360781,0.0,25.0
4.0,293940,0.0,25.0
5.0,368223,0.0,25.0
6.0,331130,0.0,25.0
7.0,370876,0.0,25.0
8.0,306640,0.0,25.0
9.0,375628,0.0,25.0
10.0,303580,0.0,25.0
11.0,375156,0.0,25.0
12.0,360145,0.0,25.0
13.0,415696,0.0,25.0
14.0,365030,0.0,25.0
15.0,356311,0.0,25.0
16.0,310901,0.0,25.0
17.0,337588,0.0,25.0
18.0,309973,0.0,25.0
19.0,353591,0.0,25.0
20.0,323593,0.0,25.0
21.0,364386,0.0,25.0
22.0,320979,0.0,25.0
23.0,336939,0.0,25.0
24.0,326890,0.0,25.0
25.0,366341,0.0,25.0
26.0,304980,0.0,25.0
27.0,361442,0.0,25.0
28.0,349506,0.0,25.0
29.0,367419,0.0,25.0
30.0,393293,0.0,25.0
31.0,394036,0.0,25.0
32.0,414580,0.0,25.0
33.0,424084,0.0,25.0
34.0,344624,0.0,25.0
35.0,398089,0.0,25.0
36.0,341029,0.0,25.0
37.0,411311,0.0,25.0
38.0,349060,0.0,25.0
39.0,418746,0.0,25.0
40.0,373796,0.0,25.0
41.0,437712,0.0,25.0
42.0,374122,0.0,25.0
43.0,416534,0.0,25.0
44.0,430188,0.0,25.0
45.0,653850,0.0,25.0
46.0,317513,0.0,25.0
47.0,287498,0.0,25.0
48.0,300161,0.0,25.0
49.0,239641,0.0,25.0
50.0,245465,0.0,25.0
51.0,261006,0.0,25.0
52.0,240094,0.0,25.0
53.0,258861,0.0,25.0
54.0,312663,0.0,25.0
55.0,311067,0.0,25.0
56.0,239336,0.0,25.0
57.0,129766,0.0,25.0
58.0,323234,0.0,25.0
59.0,156649,0.0,25.0
60.0,365578,0.0,25.0
61.0,172360,0.0,25.0
62.0,367376,0.0,25.0
63.0,161964,0.0,25.0
64.0,385838,0.0,25.0
65.0,186188,0.0,25.0
66.0,309208,0.0,25.0
67.0,219993,0.0,25.0
68.0,291040,0.0,25.0
69.0,406781,0.0,25.0
70.0,462724,0.0,25.0
71.0,477738,0.0,25.0
72.0,478938,0.0,25.0
73.0,443998,0.0,25.0
74.0,461599,0.0,25.0
75.0,465647,0.0,25.0
76.0,544836,0.0,25.0
77.0,683769,0.0,25.0
78.0,711678,0.0,25.0
79.0,655262,0.0,25.0
80.0,552282,0.0,25.0
81.0,410287,0.0,25.0
82.0,403877,0.0,25.0
83.0,407660,0.0,25.0
84.0,359487,0.0,25.0
85.0,367270,0.0,25.0
86.0,842729,1.0,25.0
87.0,532805,0.0,25.0
88.0,594525,0.0,25.0
89.0,471376,0.0,25.0
90.0,529887,0.0,25.0
91.0,286163,0.0,25.0
92.0,256130,0.0,25.0
93.0,139913,0.0,25.0
94.0,101111,0.0,25.0
95.0,339564,0.0,25.0
96.0,386877,0.0,25.0
97.0,301279,0.0,25.0
98.0,342386,0.0,25.0
99.0,368151,0.0,25.0
100.0,335548,0.0,25.0
101.0,310715,0.0,25.0
102.0,382163,0.0,25.0
103.0,258039,0.0,25.0
104.0,271225,0.0,25.0
105.0,263219,0.0,25.0
106.0,141343,0.0,25.0
107.0,127903,0.0,25.0
108.0,143250,0.0,25.0
109.0,145557,0.0,25.0
110.0,193732,0.0,25.0
111.0,123775,0.0,25.0
112.0,193935,0.0,25.0
113.0,105258,0.0,25.0
114.0,157745,0.0,25.0
115.0,102211,0.0,25.0
116.0,142475,0.0,25.0
117.0,123493,0.0,25.0
118.0,211065,0.0,25.0
119.0,165027,0.0,25.0
120.0,208982,0.0,25.0
121.0,147281,0.0,25.0
122.0,138716,0.0,25.0
123.0,109111,0.0,25.0
124.0,108525,0.0,25.0
125.0,118305,0.0,25.0
126.0,137525,0.0,25.0
127.0,132285,0.0,25.0
128.0,276232,0.0,25.0
129.0,170556,0.0,25.0
130.0,173723,0.0,25.0
131.0,138101,0.0,25.0
132.0,151758,0.0,25.0
133.0,120868,0.0,25.0
134.0,172151,0.0,25.0
135.0,357998,0.0,25.0
136.0,301621,0.0,25.0
137.0,250017,0.0,25.0
138.0,157031,0.0,25.0
139.0,365925,0.0,25.0
140.0,394880,0.0,25.0
141.0,435445,0.0,25.0
142.0,493369,0.0,25.0
143.0,526270,0.0,25.0
144.0,556836,0.0,25.0
145.0,503268,0.0,25.0
146.0,451742,0.0,25.0
147.0,398879,0.0,25.0
148.0,336311,0.0,25.0
149.0,257662,0.0,25.0
150.0,317780,0.0,25.0
151.0,277428,0.0,25.0
152.0,324641,0.0,25.0
153.0,317368,0.0,25.0
154.0,315766,0.0,25.0
155.0,355049,0.0,25.0
156.0,485683,0.0,25.0
157.0,431602,0.0,25.0
158.0,504429,0.0,25.0
159.0,450259,0.0,25.0
160.0,503451,0.0,25.0
161.0,410158,0.0,25.0
162.0,366694,0.0,25.0
163.0,696633,0.0,25.0
164.0,446130,0.0,25.0
165.0,406117,0.0,25.0
166.0,436501,0.0,25.0
167.0,406931,0.0,25.0
168.0,447664,0.0,25.0
169.0,416190,0.0,25.0
170.0,460624,0.0,25.0
171.0,440342,0.0,25.0
172.0,482290,0.0,25.0
173.0,477102,0.0,25.0
174.0,482391,0.0,25.0
175.0,430041,0.0,25.0
176.0,403149,0.0,25.0
177.0,357755,0.0,25.0
178.0,298461,0.0,25.0
179.0,192302,0.0,25.0
180.0,172100,0.0,25.0
181.0,62044,0.0,25.0
182.0,100501,0.0,25.0
183.0,301762,0.0,25.0
184.0,479129,0.0,25.0
185.0,543290,0.0,25.0
186.0,642983,0.0,25.0
187.0,651592,0.0,25.0
188.0,610687,0.0,25.0
189.0,505410,0.0,25.0
190.0,305287,0.0,25.0
191.0,343846,0.0,25.0
192.0,411752,0.0,25.0
193.0,360269,0.0,25.0
194.0,490979,0.0,25.0
195.0,473652,0.0,25.0
196.0,520996,0.0,25.0
197.0,553641,0.0,25.0
198.0,469708,0.0,25.0
199.0,483484,0.0,25.0
200.0,436019,0.0,25.0
201.0,399229,0.0,25.0
202.0,381710,0.0,25.0
203.0,313158,0.0,25.0
204.0,500151,0.0,25.0
205.0,227199,0.0,25.0
206.0,238922,0.0,25.0
207.0,274271,0.0,25.0
208.0,281324,0.0,25.0
209.0,347683,0.0,25.0
210.0,300085,0.0,25.0
211.0,353296,0.0,25.0
212.0,343180,0.0,25.0
213.0,390684,0.0,25.0
214.0,393550,0.0,25.0
215.0,414804,0.0,25.0
216.0,313348,0.0,25.0
217.0,339678,0.0,25.0
218.0,328835,0.0,25.0
219.0,379393,0.0,25.0
220.0,285429,0.0,25.0
221.0,332537,0.0,25.0
222.0,310327,0.0,25.0
223.0,321069,0.0,25.0
224.0,347916,0.0,25.0
225.0,354518,0.0,25.0
226.0,301380,0.0,25.0
227.0,379765,0.0,25.0
228.0,285479,0.0,25.0
229.0,344315,0.0,25.0
230.0,238957,0.0,25.0
231.0,278518,0.0,25.0
232.0,239470,0.0,25.0
233.0,243156,0.0,25.0
234.0,206484,0.0,25.0
235.0,178279,0.0,25.0
236.0,167071,0.0,25.0
237.0,330219,0.0,25.0
238.0,427209,0.0,25.0
239.0,392376,0.0,25.0
240.0,333969,0.0,25.0
241.0,353042,0.0,25.0
242.0,338260,0.0,25.0
243.0,397337,0.0,25.0
244.0,382616,0.0,25.0
245.0,447704,0.0,25.0
246.0,393725,0.0,25.0
247.0,414383,0.0,25.0
248.0,410953,0.0,25.0
249.0,364865,0.0,25.0
250.0,313165,0.0,25.0
251.0,368161,0.0,25.0
252.0,352845,0.0,25.0
253.0,352830,0.0,25.0
254.0,347400,0.0,25.0
255.0,369042,0.0,25.0
256.0,345569,0.0,25.0
257.0,383042,0.0,25.0
258.0,366536,0.0,25.0
259.0,388339,0.0,25.0
260.0,371867,0.0,25.0
261.0,396306,0.0,25.0
262.0,362914,0.0,25.0
263.0,388788,0.0,25.0
264.0,387338,0.0,25.0
265.0,412499,0.0,25.0
266.0,307016,0.0,25.0
267.0,385328,0.0,25.0
268.0,324765,0.0,25.0
269.0,382091,0.0,25.0
270.0,358147,0.0,25.0
271.0,424293,0.0,25.0
272.0,414899,0.0,25.0
273.0,460181,0.0,25.0
274.0,423774,0.0,25.0
275.0,428605,0.0,25.0
276.0,396596,0.0,25.0
277.0,357800,0.0,25.0
278.0,333663,0.0,25.0
279.0,365258,0.0,25.0
280.0,333041,0.0,25.0
281.0,366920,0.0,25.0
282.0,367233,0.0,25.0
283.0,378923,0.0,25.0
284.0,343141,0.0,25.0
285.0,10,0.0,25.0
286.0,594530,0.0,25.0
287.0,297434,0.0,25.0
288.0,296916,0.0,25.0
289.0,315241,0.0,25.0
290.0,264086,0.0,25.0
291.0,273702,0.0,25.0
292.0,239527,0.0,25.0
293.0,281998,0.0,25.0
294.0,253271,0.0,25.0
295.0,283494,0.0,25.0
296.0,239840,0.0,25.0
297.0,257522,0.0,25.0
298.0,229111,0.0,25.0
299.0,268873,0.0,25.0
300.0,250797,0.0,25.0
301.0,227323,0.0,25.0
302.0,212263,0.0,25.0
303.0,240698,0.0,25.0
304.0,217798,0.0,25.0
305.0,250667,0.0,25.0
306.0,209084,0.0,25.0
307.0,239498,0.0,25.0
308.0,208324,0.0,25.0
309.0,232096,0.0,25.0
310.0,467675,0.0,25.0
311.0,350076,0.0,25.0
312.0,404223,0.0,25.0
313.0,365996,0.0,25.0
314.0,329708,0.0,25.0
315.0,357697,0.0,25.0
316.0,396198,0.0,25.0
317.0,369963,0.0,25.0
318.0,323633,0.0,25.0
319.0,365432,0.0,25.0
320.0,387761,0.0,25.0
321.0,425720,0.0,25.0
322.0,353300,0.0,25.0
323.0,386566,0.0,25.0
324.0,502722,0.0,25.0
325.0,438595,0.0,25.0
326.0,436603,0.0,25.0
327.0,484883,0.0,25.0
328.0,493385,0.0,25.0
329.0,461739,0.0,25.0
330.0,435114,0.0,25.0
331.0,499247,0.0,25.0
332.0,517018,0.0,25.0
333.0,478617,0.0,25.0
334.0,426898,0.0,25.0
335.0,473827,0.0,25.0
336.0,466701,0.0,25.0
337.0,463594,0.0,25.0
338.0,390734,0.0,25.0
339.0,449558,0.0,25.0
340.0,467412,0.0,25.0
341.0,443673,0.0,25.0
342.0,326906,0.0,25.0
343.0,432215,0.0,25.0
344.0,408333,0.0,25.0
345.0,413209,0.0,25.0
346.0,316849,0.0,25.0
347.0,405785,0.0,25.0
348.0,555199,0.0,25.0
349.0,267722,0.0,25.0
350.0,243363,0.0,25.0
351.0,201398,0.0,25.0
352.0,323085,0.0,25.0
353.0,459399,0.0,25.0
354.0,379071,0.0,25.0
355.0,426846,0.0,25.0
356.0,386017,0.0,25.0
357.0,340333,0.0,25.0
358.0,370413,0.0,25.0
359.0,404908,0.0,25.0
360.0,361235,0.0,25.0
361.0,428944,0.0,25.0
362.0,361312,0.0,25.0
363.0,495769,0.0,25.0
364.0,489130,0.0,25.0
365.0,400183,0.0,25.0
366.0,376841,0.0,25.0
367.0,399804,0.0,25.0
368.0,383880,0.0,25.0
369.0,399140,0.0,25.0
370.0,371366,0.0,25.0
371.0,401743,0.0,25.0
372.0,379112,0.0,25.0
373.0,398324,0.0,25.0
374.0,373887,0.0,25.0
375.0,387529,0.0,25.0
376.0,367476,0.0,25.0
377.0,376673,0.0,25.0
378.0,360884,0.0,25.0
379.0,382158,0.0,25.0
380.0,362958,0.0,25.0
381.0,382133,0.0,25.0
382.0,356419,0.0,25.0
383.0,372011,0.0,25.0
384.0,351655,0.0,25.0
385.0,374949,0.0,25.0
386.0,355706,0.0,25.0
387.0,369984,0.0,25.0
388.0,357628,0.0,25.0
389.0,371103,0.0,25.0
390.0,358360,0.0,25.0
391.0,521130,0.0,25.0
392.0,260087,0.0,25.0
393.0,280742,0.0,25.0
394.0,225810,0.0,25.0
395.0,199274,0.0,25.0
396.0,330772,0.0,25.0
397.0,277677,0.0,25.0
398.0,255487,0.0,25.0
399.0,221516,0.0,25.0
400.0,520,0.0,25.0
401.0,316668,0.0,25.0
402.0,330233,0.0,25.0
403.0,272212,0.0,25.0
404.0,248934,0.0,25.0
405.0,358608,0.0,25.0
406.0,246616,0.0,25.0
407.0,373599,0.0,25.0
408.0,247237,0.0,25.0
409.0,379393,0.0,25.0
410.0,254744,0.0,25.0
411.0,406306,0.0,25.0
412.0,264052,0.0,25.0
413.0,316155,0.0,25.0
414.0,356339,0.0,25.0
415.0,328488,0.0,25.0
416.0,490553,0.0,25.0
417.0,586393,0.0,25.0
418.0,421251,0.0,25.0
419.0,403829,0.0,25.0
420.0,466506,0.0,25.0
421.0,570945,0.0,25.0
422.0,397416,0.0,25.0
423.0,497476,0.0,25.0
424.0,389128,0.0,25.0
425.0,366096,0.0,25.0
426.0,419612,0.0,25.0
427.0,468199,0.0,25.0
428.0,488036,0.0,25.0
429.0,497309,0.0,25.0
430.0,687457,0.0,25.0
431.0,397928,0.0,25.0
432.0,397100,0.0,25.0
433.0,425955,0.0,25.0
434.0,413813,0.0,25.0
435.0,416559,0.0,25.0
436.0,386684,0.0,25.0
437.0,406364,0.0,25.0
438.0,392696,0.0,25.0
439.0,364919,0.0,25.0
440.0,373520,0.0,25.0
441.0,407832,0.0,25.0
442.0,357069,0.0,25.0
443.0,421076,0.0,25.0
444.0,375269,0.0,25.0
445.0,383760,0.0,25.0
446.0,362748,0.0,25.0
447.0,347570,0.0,25.0
448.0,333234,0.0,25.0
449.0,356248,0.0,25.0
450.0,288795,0.0,25.0
451.0,309457,0.0,25.0
452.0,266864,0.0,25.0
453.0,290829,0.0,25.0
454.0,267640,0.0,25.0
455.0,287814,0.0,25.0
456.0,281664,0.0,25.0
457.0,298708,0.0,25.0
458.0,276638,0.0,25.0
459.0,525876,0.0,25.0
460.0,333232,0.0,25.0
461.0,372311,0.0,25.0
462.0,307509,0.0,25.0
463.0,389038,0.0,25.0
464.0,336685,0.0,25.0
465.0,412907,0.0,25.0
466.0,330261,0.0,25.0
467.0,403888,0.0,25.0
468.0,354909,0.0,25.0
469.0,416756,0.0,25.0
470.0,397305,0.0,25.0
471.0,410989,0.0,25.0
472.0,398744,0.0,25.0
473.0,389034,0.0,25.0
474.0,286508,0.0,25.0
475.0,193562,0.0,25.0
476.0,288544,0.0,25.0
477.0,275159,0.0,25.0
478.0,301561,0.0,25.0
479.0,271738,0.0,25.0
480.0,335824,0.0,25.0
481.0,346542,0.0,25.0
482.0,416417,0.0,25.0
483.0,357983,0.0,25.0
484.0,407014,0.0,25.0
485.0,409411,0.0,25.0
486.0,410725,0.0,25.0
487.0,357541,0.0,25.0
488.0,403415,0.0,25.0
489.0,339176,0.0,25.0
490.0,421269,0.0,25.0
491.0,280160,0.0,25.0
492.0,318389,0.0,25.0
493.0,275392,0.0,25.0
494.0,281150,0.0,25.0
495.0,224423,0.0,25.0
496.0,341708,0.0,25.0
497.0,209718,0.0,25.0
498.0,323607,0.0,25.0
499.0,180297,0.0,25.0
500.0,292737,0.0,25.0
501.0,221084,0.0,25.0
502.0,455133,0.0,25.0
503.0,691761,0.0,25.0
504.0,289411,0.0,25.0
505.0,215043,0.0,25.0
506.0,320940,0.0,25.0
507.0,206678,0.0,25.0
508.0,337648,0.0,25.0
509.0,259088,0.0,25.0
510.0,305991,0.0,25.0
511.0,188993,0.0,25.0
512.0,443566,0.0,25.0
513.0,256251,0.0,25.0
514.0,282320,0.0,25.0
515.0,164044,0.0,25.0
516.0,286762,0.0,25.0
517.0,131861,0.0,25.0
518.0,246697,0.0,25.0
519.0,154584,0.0,25.0
520.0,170303,0.0,25.0
521.0,134273,0.0,25.0
522.0,135250,0.0,25.0
523.0,129619,0.0,25.0
524.0,191628,0.0,25.0
525.0,92204,0.0,25.0
526.0,126458,0.0,25.0
527.0,47366,0.0,25.0
528.0,224429,0.0,25.0
529.0,110074,0.0,25.0
530.0,196229,0.0,25.0
531.0,131047,0.0,25.0
532.0,166406,0.0,25.0
533.0,118283,0.0,25.0
534.0,191953,0.0,25.0
535.0,115191,0.0,25.0
536.0,204149,0.0,25.0
537.0,87835,0.0,25.0
538.0,531964,0.0,25.0
539.0,344265,0.0,25.0
540.0,317836,0.0,25.0
541.0,289066,0.0,25.0
542.0,313369,0.0,25.0
543.0,301321,0.0,25.0
544.0,331832,0.0,25.0
545.0,323851,0.0,25.0
546.0,345807,0.0,25.0
547.0,347914,0.0,25.0
548.0,390908,0.0,25.0
549.0,416524,0.0,25.0
550.0,410822,0.0,25.0
551.0,371844,0.0,25.0
552.0,374060,0.0,25.0
553.0,349134,0.0,25.0
554.0,361131,0.0,25.0
555.0,354551,0.0,25.0
556.0,408131,0.0,25.0
557.0,379777,0.0,25.0
558.0,405933,0.0,25.0
559.0,433533,0.0,25.0
560.0,444768,0.0,25.0
561.0,419072,0.0,25.0
562.0,449060,0.0,25.0
563.0,389876,0.0,25.0
564.0,423436,0.0,25.0
565.0,394054,0.0,25.0
566.0,410207,0.0,25.0
567.0,453221,0.0,25.0
568.0,399552,0.0,25.0
569.0,437706,0.0,25.0
570.0,420902,0.0,25.0
571.0,445488,0.0,25.0
572.0,426853,0.0,25.0
573.0,441955,0.0,25.0
574.0,423775,0.0,25.0
575.0,446194,0.0,25.0
576.0,439479,0.0,25.0
577.0,449357,0.0,25.0
